,Name,AddressLine1,AddressLine2,AddressLine3,City,State,ZipCode,DesignatorCode,CertificateHoldingOffice,CertificateNumber,AccessoryRatingClass1,AccessoryRatingClass2,AccessoryRatingClass3,AccessoryRatingLimited,AirframeRatingClass1,AirframeRatingClass2,AirframeRatingClass3,AirframeRatingClass4,AirframeRatingLimited,InstrumentRatingClass1,InstrumentRatingClass2,InstrumentRatingClass3,InstrumentRatingClass4,InstrumentRatingLimited,PowerplantRatingClass1,PowerplantRatingClass2,PowerplantRatingClass3,PowerplantRatingLimited,PropellerRating1,PropellerRating2,PropellerRatingLimited,RadioRatingClass1,RadioRatingClass2,RadioRatingClass3,RadioRatingLimited,LimitedRatingEquipment,LimitedRatingAircraftFabric,LimitedRatingNonDestructiveTst,LimitedRatingFloats,LimitedRatingSpecializedServic,LimitedRatingRotorBlades,LimitedRatingLandingGear,Status,Original_Issue_Date,EASA_Certificate_Number,EASA_Expiration_Date,Certificated_Mechanics,Repairmen,Non_Certificated,Total_Employees
10,LEADING EDGE AVIONICS INC                         ,19300 Ike Jones Road               ,                                   ,                                   ,Santa Ana             ,CA,92707,137R,WP05,137R236D,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N, ACTIVE            , 28-JUN-2018, , , 5, 4, 3, 20
11,AIRCRAFT AND AVIONICS SALES INC                   ,609 ROSS AVENUE                    ,                                   ,                                   ,NEW CUMBERLAND        ,PA,17070,13AR,EA13,13AR318B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N, ACTIVE            , 30-JAN-2009, , , 2, 3, 0, 4
12,FLY HANGAR 13 LLC                                 ,12483 FM 1283                      ,                                   ,                                   ,MICO                  ,TX,78056,13HR,SW17,13HR972B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 1-OCT-2012, , , 1, 0, 0, 1
13,AIR REPAIR LLC                                    ,"1 KAHULUI AIRPORT ROAD, # 105      ",                                   ,                                   ,KAHULUI               ,HI,96732,13IR,WP13,13IR077C,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N, ACTIVE            , 23-OCT-2012, , , 14, 2, 7, 22
14,"KOSTLEVY, FRANK                                   ",744 MAIN STREET                    ,                                   ,                                   ,CAROLINE              ,WI,54928,13PR,GL13,13PR698Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 22-MAR-2007, , , 1, 1, 0, 1
15,AVIATION ENGINEERING CONSULTANTS INC              ,2754 SUNSET POINT ROAD             ,                                   ,                                   ,CLEARWATER            ,FL,33759,15AR,SO35,15AR684Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 5-SEP-2012, , , 0, 1, 0, 1
16,INTERACTIVE CAD SERVICES INC                      ,2101 North Yellowood Ave           ,                                   ,                                   ,BROKEN ARROW          ,OK,74012,15IR,SW15,15IR075B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 16-SEP-2008, , , 1, 1, 1, 3
17,LUFTHANSA TECHNIK COMPONENT SERVICES              ,7424 EAST 30TH STREET NORTH        ,                                   ,                                   ,TULSA                 ,OK,74115,15LR,SW15,15LR725Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N, ACTIVE            , 31-OCT-2007,  6088        ,  1-DEC-2015, 27, 66, 187, 282
18,AV-COM AVIONICS LLC                               ,"45 Airport Way, Hanger E-2         ",                                   ,                                   ,Dallesport            ,WA,98617,169R,NM09,169R929C,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 27-JUN-2016, , , 1, 0, 0, 1
19,PARAGON NDT LLC                                   ,2210 S. Edwards St.                ,                                   ,                                   ,Wichita               ,KS,67213,172R,CE07,172R877C,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 16-FEB-2016, , , 0, 2, 0, 4
20,GOSHEN AIR CENTER                                 ,17229 COUNTY ROAD 42               ,                                   ,                                   ,GOSHEN                ,IN,46525,17GR,GL09,17GR159B,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , , , , 2, 0, 1, 6
21,ALPHA AIRCRAFT SERVICES OF AMERICA INC            ,2317 FM 758                        ,NEW BRAUNELS MUNICIPAL AIRPORT     ,                                   ,NEW BRAUNFELS         ,TX,78130,17LR,SW17,17LR247B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 15-DEC-2009, , , 3, 0, 3, 7
22,SPACEPORT AVIONICS SERVICES INC                   ,7000 Challenger Avenue             ,                                   ,                                   ,Titusville            ,FL,32780,18SR,SO15,18SR043D,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N, ACTIVE            , 12-OCT-2017, , , 2, 1, 1, 6
23,TAI ACQUISITION CORPORATION                       ,116 TEXAS WAY                      ,                                   ,                                   ,FORT WORTH            ,TX,76106,18TR,SW19,18TR248C,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 18-NOV-2013, , , 26, 2, 3, 36
24,GENERAL MRO AEROSPACE INC                         ,10990 NW 92nd Terrace              ,                                   ,                                   ,MIAMI                 ,FL,33178,19GR,SO19,19GR994Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 8-JAN-2008,  6095        ,  1-MAR-2022, 3, 5, 4, 30
25,"AIRWAY AEROSPACE, INC.                            ",2150 NW 95TH AVENUE                ,                                   ,                                   ,DORAL                 ,FL,33172,19LR,SO19,19LR020B,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 16-SEP-2008,  6563        ,  1-JUL-2020, 4, 0, 33, 52
26,TECHNO COATINGS INC                               ,1865 NE 144TH STREET               ,                                   ,                                   ,NORTH MIAMI           ,FL,33181,19TR,SO19,19TR441B,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N, ACTIVE            , 9-DEC-2010, , , 0, 8, 140, 179
27,SATAIR USA INC                                    ,11255 NW 106th Street              ,                                   ,                                   ,Doral                 ,FL,33179,19UR,SO19,19UR764B,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 26-MAY-2011,  6782        ,  15-NOV-2021, 2, 4, 3, 10
28,POWER AVIATION SOLUTIONS LLC                      ,7824 NW 57 Street                  ,                                   ,                                   ,Miami                 ,FL,33166,19WR,SO19,19WR307D,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 31-MAY-2019, , , 2, 0, 0, 2
29,APPLE INTERNATIONAL INC                           ,367 INDUSTRIAL  DR.                ,                                   ,                                   ,BRISTOL               ,TN,37620,1A1R,CE19,1A1R131B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 10-AUG-2009, , , 2, 0, 0, 6
30,ATLANTIC GAS TURBINE CENTER INC                   ,3505 NW 153RD STREET               ,                                   ,                                   ,MIAMI GARDENS         ,FL,33054,1A3R,SO19,1A3R082B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 22-AUG-2008,  6735        ,  31-JAN-2021, 4, 0, 6, 10
31,ALPHA TURBINE AVIATION TECHNOLOGY LLC             ,8050 NW 31ST STREET                ,                                   ,                                   ,MIAMI                 ,FL,33122,1A6R,SO19,1A6R094B,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 7-MAY-2009,  5337        ,  1-APR-2021, 3, 1, 0, 5
32,AUSTIN AEROTECH REPAIR SERVICES INC               ,2005 WINDY TERRACE                 ,                                   ,                                   ,CEDAR PARK            ,TX,78613,1A7R,SW17,1A7R319B,N,Y,Y,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N, ACTIVE            , 9-JAN-2009,  6171        ,  1-FEB-2021, 1, 3, 3, 9
33,ADI INTERNATIONAL CORPORATION                     ,2311 P-51 COURT                    ,                                   ,                                   ,MINDEN                ,NV,89423,1ADR,WP19,1ADR654Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , , , , 1, 0, 1, 3
34,CABIN AERO LLC                                    ,120 TECHNOLOGY PARKWAY             ,                                   ,                                   ,NORCROSS              ,GA,30092,1AFR,SO11,1AFR109B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 14-FEB-2008, , , 1, 0, 0, 5
35,AVIATION INTERIOR SERVICES INC                    ,100 CROSSWIND DRIVE                ,                                   ,                                   ,SEARCY                ,AR,72143,1ANR,SW11,1ANR029B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 24-OCT-2007, , , 0, 3, 5, 8
36,AIRCRAFT CABIN SYSTEMS LLC                        ,"18080 NE 68TH STREET, BLDG. B      ",                                   ,                                   ,REDMOND               ,WA,98052,1ASR,NM01,1ASR959Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 17-JUN-2010,  6770        ,  7-NOV-2021, 0, 5, 0, 12
37,WORLD WIDE AERONAUTICAL COMPONENTS INC            ,10 REITH STREET                    ,                                   ,                                   ,COPAIGUE              ,NY,11726,1AUR,EA11,1AUR034B,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 22-AUG-2008, , , 0, 1, 7, 9
38,"WESTERN SKYWAYS TURBINE, INC                      ",1681 6450 Rd. Unit 3A              ,                                   ,                                   ,MONTROSE              ,CO,81404,1B6R,NM07,1B6R708C,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 4-JAN-2016,  6709        ,  2-SEP-2020, 5, 0, 1, 6
39,BUCHER AEROSPACE CORPORATION                      ,1310 INDUSTRY ST SUITE 100         ,                                   ,                                   ,EVERETT               ,WA,98203,1BSR,NM01,1BSR390B,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 10-JAN-2011, , , 0, 2, 0, 9
40,CORPORATE JET GROUP INC                           ,450 BRISCO BLVD                    ,                                   ,                                   ,LAWRENCEVILLE         ,GA,30045,1C1R,SO11,1C1R816B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 30-JUN-2011, , , 1, 3, 0, 5
41,GALVIN FLIGHT MAINTENANCE LLC                     ,"7001 Pereimeter Road South,        ",Suite 102                          ,                                   ,Seattle               ,WA,98108,1C8R,NM01,1C8R303C,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 21-MAR-2014, , , 0, 1, 0, 6
42,CVG AEROSPACE LLC                                 ,13500 SW 134TH AVENUE              ,SUITE 6                            ,                                   ,MIAMI                 ,FL,33186,1C9R,SO19,1C9R855B,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N, ACTIVE            , 10-JUN-2013,  6650        ,  10-SEP-2021, 0, 2, 4, 6
43,CAMARILLO AVIONICS                                ,1708 EDGEMENOT DRIVE               ,                                   ,                                   ,CAMARILLO             ,CA,93010,1CKR,WP01,1CKR861B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 1-JUN-2011, , , 1, 1, 0, 2
44,CASTLE AVIATION AND REPAIR                        ,920 Mason Ln                       ,                                   ,                                   ,Waxahachie            ,TX,75167,1CLR,SW19,1CLR192B,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 25-JUL-2008, , , 1, 1, 0, 1
45,C-RAY AVIONICS INC                                ,970 BEN EPPS DRIVE                 ,SUITE A                            ,                                   ,ATHENS                ,GA,30605,1CRR,SO11,1CRR279B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 16-SEP-2008, , , 2, 2, 0, 3
46,AERO-FLITE INC                                    ,8520 WEST ELECTRIC AVENUE          ,                                   ,                                   ,SPOKANE               ,WA,99224,1CSR,NM13,1CSR057B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 2-FEB-2009,  6213        ,  1-AUG-2013, 57, 0, 7, 84
47,CORE PARTS LLC                                    ,4836 E. Indigo Street              ,Suite 103                          ,                                   ,Mesa                  ,AZ,85205,1D2R,WP07,1D2R884C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 31-JUL-2019, , , 1, 0, 0, 1
48,LATITUDE AERO LLC                                 ,11817 Westar Lane                  ,                                   ,                                   ,Burlington            ,WA,98233,1D3D,EA39,1D3D892C,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 16-DEC-2019, , , 0, 2, 0, 3
49,LATITUDE AERO LLC                                 ,235 A Burgess Rd.                  ,                                   ,                                   ,Greensboro            ,NC,27409,1D3R,EA39,1D3R892C,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 26-JUL-2016, , , 0, 2, 4, 6
50,FELLFAB CORPORATION                               ,1618 Landis Highway                ,                                   ,                                   ,Mooresville           ,NC,28115,1D4R,EA68,1D4R893C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N, ACTIVE            , 20-OCT-2016, , , 0, 5, 4, 9
51,DASSAULT FALCON JET - WILMINGTON CORP             ,2327 SE Thunderbolt Drive          ,Hangar 12                          ,                                   ,Stuart                ,FL,34996,1D9R,SO19,1D9R931B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 8-DEC-2011,  6384        ,  1-JAN-2021, 16, 0, 0, 16
52,DASSAULT AIRCRAFT SERVICES CORPORATION            ,7701 WOODLEY AVENUE                ,                                   ,                                   ,VAN NUYS              ,CA,91406,1DFD,WP01,1DFD346B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 13-MAR-2014,  6552        ,  6-JUN-2022, 2, 0, 0, 3
53,DASSAULT AIRCRAFT SERVICES CORPORATION            ,365 SOUTH ROCK BLVD.               ,                                   ,                                   ,RENO                  ,NV,89502,1DFR,WP19,1DFR346B,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 7-APR-2009,  6286        ,  1-JUL-2020, 33, 5, 0, 54
54,DESERT JET MAINTENANCE LLC                        ,56600 INVADER                      ,                                   ,                                   ,THERMAL               ,CA,92274,1DJR,WP21,1DJR318M,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 15-AUG-2013, , , 5, 0, 0, 7
55,SOUTHCO AVIATION LLC                              ,205 Aviation Road                  ,                                   ,                                   ,Houma                 ,LA,70363,1DZR,SW03,1DZR871C,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 8-FEB-2017, , , 4, 0, 0, 6
56,STS REPAIR AND MODIFICATION LLC                   ,100 Aerospace Drive                ,Unit #6                            ,                                   ,Melbourne             ,FL,32901,1E1R,SO15,1E1R898B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N, ACTIVE            , 30-MAR-2012,  6678        ,  2-MAR-2022, 96, 10, 109, 240
57,AEROSPACE DEFENSE SYSTEMS INC                     ,1116 East Lowe Circle              ,MidCoast Regional Airport          ,Wright Army Airfield               ,Fort Stewart          ,GA,31525,1E2R,SO11,1E2R323C,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 18-MAR-2015, , , 1, 0, 0, 4
58,EXP AIRCRAFT SERVICES                             ,1004 DOUGLAS DRIVE                 ,NORTHWEST REGIONAL AIRPORT         ,                                   ,ROANOKE               ,TX,76262,1E4R,SW19,1E4R827B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 22-AUG-2011, , , 1, 1, 0, 1
59,BELL TEXTRON MIAMI INC                            ,"2011 S. PERIMETER ROAD,  SUITE L.  ",                                   ,                                   ,FT LAUDERDALE         ,FL,33309,1E9R,SO19,1E9R960Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 4-JUN-2007, , , 8, 0, 0, 17
60,REINHOLD INDUSTRIES INC                           ,"1500 MARINER DRIVE, SUITE H        ",                                   ,                                   ,OXNARD                ,CA,93033,1EER,WP01,1EER640B,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 27-SEP-2012, , , 0, 2, 0, 3
61,ECLIPSE AEROSPACE INC                             ,3520 Spirit Drive SE Hangar SP-3   ,                                   ,                                   ,ABQ                   ,NM,87106,1EOR,SW01,1EOR539B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 6-APR-2010, , , 11, 2, 8, 21
62,ELITE AVIATION SERVICES INC                       ,950 South Old Missouri Road        ,                                   ,                                   ,Springdale            ,AR,72764,1EZR,SW11,1EZR979C,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 8-FEB-2017, , , 0, 1, 0, 2
63,CAPE FEAR AIRWORKS INC                            ,"4009 Airport Rd., Hangar 8         ",                                   ,                                   ,Southport             ,NC,28461,1F3R,EA39,1F3R379D,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 15-JUN-2018, , , 2, 2, 0, 3
64,IFR CERTIFIED AVIONICS LLC                        ,5508 Airport Blvd.                 ,                                   ,                                   ,Bartow                ,FL,33830,1F4R,SO15,1F4R612D,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N, ACTIVE            , 15-MAY-2019, , , 0, 2, 0, 2
65,FLORIDA AERO SERVICES INC                         ,C/O Trinity Jet                    ,7515 Lemmon Ave.                   ,Hanger R                           ,Dallas                ,TX,75209,1F5R,SO15,1F5R990B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 2-OCT-2012, , , 1, 0, 0, 1
66,FLIGHT POWER REPAIR GROUP LLC                     ,7825 NW 57TH STREET                ,                                   ,                                   ,DORAL                 ,FL,33166,1FPR,SO19,1FPR847B,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y, ACTIVE            , 15-SEP-2011,  6373        ,  1-NOV-2021, 12, 3, 11, 26
67,GLOBAL AIRSERVICES LLC                            ,14075 SW 143 COURT                 ,UNIT 4                             ,                                   ,MIAMI                 ,FL,33186,1GBR,SO19,1GBR286B,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 28-JUL-2011,  6418        ,  13-AUG-2020, 2, 5, 7, 23
68,GAR MRO SERVICES                                  ,7760 Cascade Avenue                ,                                   ,                                   ,WEST DES MOINES       ,IA,50266,1GOR,CE01,1GOR955B,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 26-JUN-2012,  6433        ,  24-AUG-2020, 2, 4, 5, 13
69,GREAT PLANES FUEL METERING INC                    ,740 S. 142ND EAST AVE.             ,                                   ,                                   ,TULSA                 ,OK,74108,1GPR,SW15,1GPR022B,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 29-AUG-2007, , , 3, 0, 0, 4
